Season,Date,Left,Joined,MV,Fee,player
17/18,"Jul 24, 2017",Chelsea U23,Vitesse,-,loan transfer,Mason Mount
16/17,"Jul 1, 2016",Chelsea U18,Chelsea U23,-,-,Mason Mount
15/16,"Jul 1, 2015",Chelsea Youth,Chelsea U18,-,-,Mason Mount
16/17,"Jan 13, 2017",RB Salzburg,RB Leipzig,€5.00m,€18.50m,Dayot Upamecano
15/16,"Jul 11, 2015",VAFC U19,RB Salzburg,-,€2.20m,Dayot Upamecano
20/21,"Oct 5, 2020",Fiorentina,Juventus,€48.00m,Loan fee:€10.00m,Federico Chiesa
16/17,"Jul 1, 2016",Fiorentina U19,Fiorentina,€100Th.,-,Federico Chiesa
14/15,"Jul 1, 2014",Fiorentina Yth.,Fiorentina U19,-,-,Federico Chiesa
15/16,"Jul 1, 2015",Milan U19,AC Milan,€500Th.,-,Gianluigi Donnarumma
14/15,"Jul 1, 2014",AC Milan Youth,Milan U19,-,-,Gianluigi Donnarumma
13/14,"Jul 1, 2013",Castellammare,AC Milan Youth,-,€250Th.,Gianluigi Donnarumma
18/19,"Jul 1, 2018",Norwich,Leicester,€10.00m,€25.00m,James Maddison
16/17,"Jan 2, 2017",Aberdeen FC,Norwich,€1.50m,End of loan,James Maddison
16/17,"Aug 31, 2016",Norwich,Aberdeen FC,€1.50m,loan transfer,James Maddison
15/16,"May 31, 2016",Coventry,Norwich,€1.50m,End of loan,James Maddison
15/16,"Feb 2, 2016",Norwich,Coventry,€500Th.,loan transfer,James Maddison
15/16,"Feb 1, 2016",Coventry,Norwich,€500Th.,€2.65m,James Maddison
14/15,"Jul 1, 2014",Coventry U18,Coventry,-,-,James Maddison
20/21,"Sep 1, 2020",Cagliari Calcio,Inter,€50.00m,€28.00m,Nicolò Barella
19/20,"Aug 31, 2020",Inter,Cagliari Calcio,€50.00m,End of loan,Nicolò Barella
19/20,"Jul 12, 2019",Cagliari Calcio,Inter,€36.00m,Loan fee:€12.00m,Nicolò Barella
15/16,"Jun 30, 2016",Como,Cagliari Calcio,€1.30m,End of loan,Nicolò Barella
15/16,"Jan 5, 2016",Cagliari Calcio,Como,€800Th.,loan transfer,Nicolò Barella
14/15,"Jul 1, 2014",Cagliari U19,Cagliari Calcio,€200Th.,-,Nicolò Barella
13/14,"Jul 1, 2013",Cagliari Youth,Cagliari U19,€150Th.,-,Nicolò Barella
13/14,"Apr 25, 2013",Danubio FC,Atlético Madrid,€65.00m,€900Th.,José María Giménez
12/13,"Nov 1, 2012",Danubio U19,Danubio FC,-,-,José María Giménez
18/19,"Jul 1, 2018",Monaco,Liverpool,€45.00m,€45.00m,Fabinho
15/16,"Jul 1, 2015",Rio Ave FC,Monaco,€8.00m,€6.00m,Fabinho
14/15,"Jun 30, 2015",Monaco,Rio Ave FC,€8.00m,End of loan,Fabinho
13/14,"Jul 19, 2013",Rio Ave FC,Monaco,€2.50m,loan transfer,Fabinho
12/13,"Jun 30, 2013",RM Castilla,Rio Ave FC,€2.50m,End of loan,Fabinho
12/13,"Jul 19, 2012",Rio Ave FC,RM Castilla,-,loan transfer,Fabinho
12/13,"Jul 1, 2012",Fluminense U20,Rio Ave FC,-,€500Th.,Fabinho
10/11,"Feb 28, 2011",Paulínia Futebol Clube (SP),Fluminense U20,-,free transfer,Fabinho
15/16,"Jul 1, 2015",US Palermo,Juventus,€23.00m,€40.00m,Paulo Dybala
12/13,"Jul 20, 2012",Instituto AC,US Palermo,€2.00m,€11.90m,Paulo Dybala
11/12,"Jul 1, 2011",Instituto U19,Instituto AC,-,-,Paulo Dybala
13/14,"May 4, 2014",Notts County,Aston Villa,€250Th.,End of loan,Jack Grealish
13/14,"Sep 13, 2013",Aston Villa,Notts County,€150Th.,loan transfer,Jack Grealish
13/14,"Jul 1, 2013",Aston Villa U23,Aston Villa,-,-,Jack Grealish
12/13,"Jul 1, 2012",Aston Villa U18,Aston Villa U23,-,-,Jack Grealish
19/20,"Jul 14, 2019",Atlético Madrid,FC Barcelona,€130.00m,€120.00m,Antoine Griezmann
14/15,"Jul 28, 2014",Real Sociedad,Atlético Madrid,€30.00m,€54.00m,Antoine Griezmann
09/10,"Apr 8, 2010",Real Sociedad B,Real Sociedad,-,-,Antoine Griezmann
09/10,"Jul 1, 2009",Berio,Real Sociedad B,-,-,Antoine Griezmann
07/08,"Jul 1, 2009",R. Sociedad U19,Berio,-,-,Antoine Griezmann
06/07,"Jul 1, 2006",Real Sociedad Y,R. Sociedad U19,-,-,Antoine Griezmann
05/06,"Jul 1, 2005",Mâconnais,Real Sociedad Y,-,free transfer,Antoine Griezmann
16/17,"Aug 9, 2016",Juventus,Man Utd,€70.00m,€105.00m,Paul Pogba
12/13,"Aug 3, 2012",Man Utd U23,Juventus,€3.50m,free transfer,Paul Pogba
11/12,"Jul 1, 2011",Man Utd U18,Man Utd U23,-,-,Paul Pogba
09/10,"Jul 1, 2009",Le Havre U17,Man Utd U18,-,?,Paul Pogba
07/08,"Jul 1, 2007",US Torcy Yth.,Le Havre U17,-,free transfer,Paul Pogba
12/13,"Jul 18, 2012",Pescara,Paris SG,€10.00m,€12.00m,Marco Verratti
08/09,"Jul 1, 2008",Pescara U19,Pescara,-,-,Marco Verratti
10/11,"Jan 1, 2011",Atl. Madrid B,Atlético Madrid,-,-,Koke
08/09,"Jul 1, 2008",Atl. Madrid U19,Atl. Madrid B,-,-,Koke
14/15,"Jul 1, 2014",Bor. Dortmund,FC Bayern ,€50.00m,free transfer,Robert Lewandowski
10/11,"Jul 1, 2010",Lech Poznan,Bor. Dortmund,€4.50m,€4.75m,Robert Lewandowski
08/09,"Jun 18, 2008",Znicz Pruszkow,Lech Poznan,€500Th.,€380Th.,Robert Lewandowski
06/07,"Jul 1, 2006",Legia II,Znicz Pruszkow,-,€15Th.,Robert Lewandowski
05/06,"Jul 1, 2005",Delta Warszawa,Legia II,-,free transfer,Robert Lewandowski
17/18,"Jul 1, 2017",Benfica,Man City,€22.00m,€40.00m,Ederson
15/16,"Jul 1, 2015",Rio Ave FC,Benfica,€1.20m,€500Th.,Ederson
12/13,"Jul 1, 2012",GD Ribeirão,Rio Ave FC,-,free transfer,Ederson
11/12,"Jul 1, 2011",Benfica U19,GD Ribeirão,-,free transfer,Ederson
10/11,"Jul 1, 2010",Benfica U17,Benfica U19,-,-,Ederson
09/10,"Jan 1, 2010",São Paulo U17,Benfica U17,-,?,Ederson
18/19,"Jun 30, 2019",Parma,Inter,€15.00m,End of loan,Alessandro Bastoni
18/19,"Aug 7, 2018",Inter,Parma,€2.50m,loan transfer,Alessandro Bastoni
17/18,"Jun 30, 2018",Atalanta BC,Inter,€2.50m,End of loan,Alessandro Bastoni
17/18,"Aug 31, 2017",Inter,Atalanta BC,€1.50m,loan transfer,Alessandro Bastoni
17/18,"Aug 30, 2017",Atalanta BC,Inter,€1.50m,€31.10m,Alessandro Bastoni
16/17,"Jan 1, 2017",Atalanta U19,Atalanta BC,€75Th.,-,Alessandro Bastoni
16/17,"Jul 1, 2016",Atalanta U17,Atalanta U19,-,-,Alessandro Bastoni
15/16,"Jul 1, 2015",Atalanta Youth,Atalanta U17,-,-,Alessandro Bastoni
19/20,"Jul 8, 2019",Monaco,Leicester,€38.00m,€45.00m,Youri Tielemans
18/19,"Jun 30, 2019",Leicester,Monaco,€38.00m,End of loan,Youri Tielemans
18/19,"Jan 31, 2019",Monaco,Leicester,€18.00m,loan transfer,Youri Tielemans
17/18,"Jul 1, 2017",RSC Anderlecht,Monaco,€22.00m,€26.20m,Youri Tielemans
13/14,"Jul 1, 2013",Anderlecht U17,RSC Anderlecht,-,-,Youri Tielemans
12/13,"Jul 1, 2012",Anderlecht Yth.,Anderlecht U17,-,-,Youri Tielemans
16/17,"Jul 16, 2016",Leicester,Chelsea,€20.00m,€35.80m,N'Golo Kanté
15/16,"Aug 3, 2015",SM Caen,Leicester,€4.50m,€9.00m,N'Golo Kanté
13/14,"Jul 1, 2013",US Boulogne,SM Caen,€50Th.,free transfer,N'Golo Kanté
12/13,"Jul 1, 2012",Boulogne B,US Boulogne,-,-,N'Golo Kanté
17/18,"Jul 7, 2017",Sampdoria,Inter,€7.00m,€34.00m,Milan Skriniar
15/16,"Jan 29, 2016",MSK Zilina,Sampdoria,€600Th.,€5.20m,Milan Skriniar
12/13,"Jun 30, 2013",Zlate Moravce,MSK Zilina,€100Th.,End of loan,Milan Skriniar
12/13,"Jan 1, 2013",MSK Zilina,Zlate Moravce,€100Th.,loan transfer,Milan Skriniar
11/12,"Jan 1, 2012",MSK Zilina U19,MSK Zilina,-,-,Milan Skriniar
13/14,"Jun 30, 2014",Rayo Vallecano,Atlético Madrid,€7.50m,End of loan,Saúl Ñíguez
13/14,"Jul 23, 2013",Atlético Madrid,Rayo Vallecano,€2.00m,loan transfer,Saúl Ñíguez
13/14,"Jul 1, 2013",Atl. Madrid B,Atlético Madrid,€2.00m,-,Saúl Ñíguez
10/11,"Jul 1, 2010",Atl. Madrid U19,Atl. Madrid B,-,-,Saúl Ñíguez
09/10,"Jul 1, 2009",Atlético Juv. B,Atl. Madrid U19,-,-,Saúl Ñíguez
08/09,"Jul 1, 2008",Real Madrid U17,Atlético Juv. B,-,free transfer,Saúl Ñíguez
15/16,"Jul 1, 2015",TSG Hoffenheim,Liverpool,€25.00m,€41.00m,Roberto Firmino
10/11,"Jan 1, 2011",Tombense,TSG Hoffenheim,-,€4.00m,Roberto Firmino
10/11,"Dec 31, 2010",Figueirense FC,Tombense,-,End of loan,Roberto Firmino
09/10,"Apr 1, 2010",Tombense,Figueirense FC,-,loan transfer,Roberto Firmino
09/10,"Mar 31, 2010",Figueirense FC,Tombense,-,?,Roberto Firmino
09/10,"Jan 1, 2010",Figueirense U17,Figueirense FC,-,-,Roberto Firmino
18/19,"Jul 1, 2018",Lazio,Inter,€40.00m,free transfer,Stefan de Vrij
14/15,"Jul 30, 2014",Feyenoord,Lazio,€6.00m,€7.00m,Stefan de Vrij
09/10,"Jul 17, 2009",Feyenoord U19,Feyenoord,-,-,Stefan de Vrij
08/09,"Jul 1, 2008",Feyenoord Youth,Feyenoord U19,-,-,Stefan de Vrij
20/21,"Jul 1, 2020",Inter,Paris SG,€60.00m,€50.00m,Mauro Icardi
19/20,"Jun 30, 2020",Paris SG,Inter,€60.00m,End of loan,Mauro Icardi
19/20,"Sep 2, 2019",Inter,Paris SG,€80.00m,loan transfer,Mauro Icardi
13/14,"Jul 9, 2013",Sampdoria,Inter,€12.00m,€13.00m,Mauro Icardi
11/12,"Jul 16, 2011",Barça U19,Sampdoria,€200Th.,€300Th.,Mauro Icardi
10/11,"Jun 30, 2011",Sampdoria U19,Barça U19,€200Th.,End of loan,Mauro Icardi
10/11,"Jan 11, 2011",Barça U19,Sampdoria U19,-,Loan fee:€25Th.,Mauro Icardi
10/11,"Jul 1, 2010",Barça U18,Barça U19,-,-,Mauro Icardi
08/09,"Jul 1, 2008",Barça U16,Barça U18,-,-,Mauro Icardi
07/08,"Feb 1, 2008",Vecindario You.,Barça U16,-,?,Mauro Icardi
10/11,"Jun 30, 2011",TSG Hoffenheim,FC Bayern ,€5.00m,End of loan,David Alaba
10/11,"Jan 1, 2011",FC Bayern ,TSG Hoffenheim,€2.00m,loan transfer,David Alaba
10/11,"Jul 1, 2010",FC Bayern II,FC Bayern ,€1.00m,-,David Alaba
09/10,"Jul 1, 2009",FC Bayern U19,FC Bayern II,€200Th.,-,David Alaba
08/09,"Jul 1, 2008",A. Vienna Res.,FC Bayern U19,€200Th.,€150Th.,David Alaba
07/08,"Jan 1, 2008",Austria U19,A. Vienna Res.,-,-,David Alaba
07/08,"Jul 1, 2007",Austria U17,Austria U19,-,-,David Alaba
06/07,"Jan 1, 2007",FK Austria Vienn,Austria U17,-,-,David Alaba
02/03,"Sep 1, 2002",Aspern Youth,FK Austria Vienn,-,free transfer,David Alaba
19/20,"Jul 1, 2019",Man Utd U18,Man Utd,-,-,Mason Greenwood
17/18,"Jul 1, 2017",Man Utd Youth,Man Utd U18,-,-,Mason Greenwood
19/20,"Jul 2, 2019",Olympique Lyon,Spurs,€65.00m,€60.00m,Tanguy Ndombélé
18/19,"Jul 1, 2018",Amiens SC,Olympique Lyon,€25.00m,€8.00m,Tanguy Ndombélé
17/18,"Jun 30, 2018",Olympique Lyon,Amiens SC,€25.00m,End of loan,Tanguy Ndombélé
17/18,"Aug 31, 2017",Amiens SC,Olympique Lyon,€1.00m,Loan fee:€2.00m,Tanguy Ndombélé
16/17,"Jul 1, 2016",SC Amiens B,Amiens SC,-,-,Tanguy Ndombélé
14/15,"Jul 1, 2014",EA Guingamp U19,SC Amiens B,-,free transfer,Tanguy Ndombélé
20/21,"Sep 1, 2020",LOSC Lille,SSC Napoli,€40.00m,€70.00m,Victor Osimhen
19/20,"Aug 1, 2019",RSC Charleroi,LOSC Lille,€13.00m,€22.40m,Victor Osimhen
19/20,"Jul 1, 2019",VfL Wolfsburg,RSC Charleroi,€13.00m,€3.50m,Victor Osimhen
18/19,"Jun 30, 2019",RSC Charleroi,VfL Wolfsburg,€13.00m,End of loan,Victor Osimhen
18/19,"Aug 22, 2018",VfL Wolfsburg,RSC Charleroi,€1.00m,loan transfer,Victor Osimhen
16/17,"Jan 1, 2017",Ult. Strikers,VfL Wolfsburg,-,€3.50m,Victor Osimhen
18/19,"Jun 30, 2019",Málaga CF,Villarreal,€4.00m,End of loan,Pau Torres
18/19,"Aug 6, 2018",Villarreal,Málaga CF,€500Th.,loan transfer,Pau Torres
18/19,"Jul 1, 2018",Villarreal CF B,Villarreal,€500Th.,-,Pau Torres
16/17,"Jul 1, 2016",Villarreal U19,Villarreal CF B,-,-,Pau Torres
14/15,"Jul 1, 2014",Villarreal Yth.,Villarreal U19,-,-,Pau Torres
20/21,"Aug 4, 2020",Valencia,Man City,€45.00m,€23.00m,Ferran Torres
17/18,"Jan 1, 2018",Valencia B,Valencia,€1.00m,-,Ferran Torres
17/18,"Jul 1, 2017",Valencia U19,Valencia B,-,-,Ferran Torres
16/17,"Jul 1, 2016",Valencia CF You,Valencia U19,-,-,Ferran Torres
20/21,"Sep 1, 2020",Real Madrid,Inter,€54.00m,€40.00m,Achraf Hakimi
19/20,"Jun 30, 2020",Bor. Dortmund,Real Madrid,€54.00m,End of loan,Achraf Hakimi
18/19,"Jul 11, 2018",Real Madrid,Bor. Dortmund,€5.00m,loan transfer,Achraf Hakimi
17/18,"Jul 1, 2017",RM Castilla,Real Madrid,€300Th.,-,Achraf Hakimi
16/17,"Jul 1, 2016",Real Madrid U19,RM Castilla,-,-,Achraf Hakimi
15/16,"Jul 1, 2015",Real Madrid U18,Real Madrid U19,-,-,Achraf Hakimi
16/17,"Jul 4, 2016",Olymp. Lyon U19,Olympique Lyon,-,-,Houssem Aouar
20/21,"Sep 1, 2020",FC Barcelona,Juventus,€56.00m,€72.00m,Arthur
18/19,"Jul 9, 2018",Grêmio,FC Barcelona,€30.00m,€31.00m,Arthur
16/17,"Jan 1, 2017",Grêmio B,Grêmio,€100Th.,-,Arthur
14/15,"Jan 1, 2015",Grêmio U20,Grêmio B,-,-,Arthur
19/20,"Jul 6, 2019",Real Madrid,AC Milan,€15.00m,€21.50m,Theo Hernández
18/19,"Jun 30, 2019",Real Sociedad,Real Madrid,€15.00m,End of loan,Theo Hernández
18/19,"Aug 10, 2018",Real Madrid,Real Sociedad,€15.00m,loan transfer,Theo Hernández
17/18,"Jul 5, 2017",Atlético Madrid,Real Madrid,€15.00m,€24.00m,Theo Hernández
16/17,"Jun 30, 2017",Alavés,Atlético Madrid,€15.00m,End of loan,Theo Hernández
16/17,"Aug 4, 2016",Atlético Madrid,Alavés,-,loan transfer,Theo Hernández
16/17,"Jul 1, 2016",Atl. Madrid B,Atlético Madrid,-,-,Theo Hernández
15/16,"Jul 1, 2015",Atl. Madrid U19,Atl. Madrid B,-,-,Theo Hernández
14/15,"Jul 1, 2014",Atlético Juv. B,Atl. Madrid U19,-,-,Theo Hernández
13/14,"Jul 1, 2013",Atlético Youth,Atl. Madrid B,-,-,Theo Hernández
07/08,"Jul 1, 2007",CF Rayo Majadaho,Atlético Youth,-,free transfer,Theo Hernández
19/20,"Jul 1, 2019",FC Nantes,Sevilla FC,€13.00m,€15.00m,Diego Carlos
16/17,"Jul 1, 2016",Estoril Praia,FC Nantes,€1.00m,€1.30m,Diego Carlos
14/15,"Jun 30, 2015",FC Porto B,Estoril Praia,-,End of loan,Diego Carlos
14/15,"Sep 1, 2014",Estoril Praia,FC Porto B,-,loan transfer,Diego Carlos
14/15,"Jul 2, 2014",Madureira-RJ,Estoril Praia,-,free transfer,Diego Carlos
13/14,"May 1, 2014",Paulista FC,Madureira-RJ,-,free transfer,Diego Carlos
13/14,"Jan 1, 2014",FC São Paulo B,Paulista FC,-,?,Diego Carlos
12/13,"Jan 1, 2013",Desportivo U20,FC São Paulo B,-,?,Diego Carlos
20/21,"Aug 26, 2020",Leicester,Chelsea,€40.00m,€50.20m,Ben Chilwell
15/16,"Jan 3, 2016",Huddersfield,Leicester,-,End of loan,Ben Chilwell
15/16,"Nov 19, 2015",Leicester,Huddersfield,-,loan transfer,Ben Chilwell
15/16,"Jul 1, 2015",Leicester U23,Leicester,-,-,Ben Chilwell
14/15,"Jul 1, 2014",Leicester U18,Leicester U23,-,-,Ben Chilwell
18/19,"Jun 30, 2019",Bor. Dortmund,Chelsea,€60.00m,End of loan,Christian Pulisic
18/19,"Jan 3, 2019",Chelsea,Bor. Dortmund,€50.00m,loan transfer,Christian Pulisic
18/19,"Jan 2, 2019",Bor. Dortmund,Chelsea,€50.00m,€64.00m,Christian Pulisic
15/16,"Jan 4, 2016",B. Dortmund U19,Bor. Dortmund,-,-,Christian Pulisic
15/16,"Jul 1, 2015",B. Dortmund U17,B. Dortmund U19,-,-,Christian Pulisic
14/15,"Feb 10, 2015",PA Classics,B. Dortmund U17,-,free transfer,Christian Pulisic
19/20,"Jul 1, 2019",Atalanta BC,AC Milan,€33.00m,€24.00m,Franck Kessié
18/19,"Jun 30, 2019",AC Milan,Atalanta BC,€33.00m,End of loan,Franck Kessié
17/18,"Jul 1, 2017",Atalanta BC,AC Milan,€20.00m,Loan fee:€8.00m,Franck Kessié
15/16,"Jun 30, 2016",Cesena,Atalanta BC,€4.00m,End of loan,Franck Kessié
15/16,"Aug 26, 2015",Atalanta BC,Cesena,€300Th.,loan transfer,Franck Kessié
15/16,"Jul 1, 2015",Stella Club,Atalanta BC,€300Th.,€1.50m,Franck Kessié
14/15,"Jun 30, 2015",Atalanta U19,Stella Club,€300Th.,End of loan,Franck Kessié
14/15,"Jan 29, 2015",Stella Club,Atalanta U19,-,loan transfer,Franck Kessié
19/20,"Jul 1, 2019",Olympique Lyon,Real Madrid,€30.00m,€48.00m,Ferland Mendy
17/18,"Jul 1, 2017",AC Le Havre,Olympique Lyon,€1.25m,€5.00m,Ferland Mendy
15/16,"Jul 1, 2015",Le Havre B,AC Le Havre,-,-,Ferland Mendy
13/14,"Jul 1, 2013",FC Mantois,Le Havre B,-,free transfer,Ferland Mendy
12/13,"Jul 1, 2012",Paris SG U17,FC Mantois,-,free transfer,Ferland Mendy
11/12,"Jul 1, 2011",PSG Youth,Paris SG U17,-,-,Ferland Mendy
17/18,"Aug 25, 2017",Bor. Dortmund,FC Barcelona,€33.00m,€135.00m,Ousmane Dembélé
16/17,"Jul 1, 2016",Stade Rennais,Bor. Dortmund,€12.00m,€15.00m,Ousmane Dembélé
15/16,"Oct 1, 2015",Rennes B,Stade Rennais,-,-,Ousmane Dembélé
14/15,"Jul 1, 2014",Rennes U19,Rennes B,-,-,Ousmane Dembélé
16/17,"Jan 3, 2017",KRC Genk,Leicester,€8.00m,€17.60m,Wilfred Ndidi
14/15,"Jan 15, 2015",Nath Boys,KRC Genk,-,€180Th.,Wilfred Ndidi
17/18,"Jul 8, 2017",FC Porto,Wolves,€10.00m,€17.90m,Rúben Neves
14/15,"Jul 1, 2014",FC Porto U17,FC Porto,-,-,Rúben Neves
12/13,"Jan 1, 2013",PFC Sub17,FC Porto U17,-,-,Rúben Neves
12/13,"Jul 1, 2012",FC Porto U15,PFC Sub17,-,-,Rúben Neves
10/11,"Jul 1, 2010",FC Porto Youth,FC Porto U15,-,-,Rúben Neves
15/16,"Sep 1, 2015",Monaco,Man Utd,€8.00m,€60.00m,Anthony Martial
13/14,"Jul 1, 2013",Olymp. Lyon B,Monaco,-,€5.00m,Anthony Martial
12/13,"Jul 1, 2012",Olymp. Lyon U19,Olymp. Lyon B,-,-,Anthony Martial
19/20,"Aug 7, 2019",Juventus,Man City,€55.00m,€65.00m,João Cancelo
18/19,"Jul 1, 2018",Valencia,Juventus,€35.00m,€40.40m,João Cancelo
17/18,"Jun 30, 2018",Inter,Valencia,€35.00m,End of loan,João Cancelo
17/18,"Aug 22, 2017",Valencia,Inter,€20.00m,loan transfer,João Cancelo
15/16,"Jul 1, 2015",Benfica,Valencia,€2.00m,€15.00m,João Cancelo
14/15,"Jun 30, 2015",Valencia,Benfica,€2.00m,End of loan,João Cancelo
14/15,"Aug 20, 2014",Benfica,Valencia,€2.00m,loan transfer,João Cancelo
14/15,"Jul 1, 2014",Benfica B,Benfica,€2.00m,-,João Cancelo
12/13,"Jan 1, 2013",Benfica U19,Benfica B,€1.00m,-,João Cancelo
11/12,"Jul 1, 2011",Benfica U17,Benfica U19,-,-,João Cancelo
09/10,"Jul 1, 2009",Benfica U15,Benfica U17,-,-,João Cancelo
17/18,"Jan 30, 2018",Athletic,Man City,€25.00m,€65.00m,Aymeric Laporte
12/13,"Dec 17, 2012",Bilbao Athletic,Athletic,-,-,Aymeric Laporte
12/13,"Jul 1, 2012",CD Basconia,Bilbao Athletic,-,-,Aymeric Laporte
11/12,"Jul 1, 2011",Bilbao U19,CD Basconia,-,-,Aymeric Laporte
20/21,"Sep 22, 2020",Atlético Madrid,Juventus,€36.00m,Loan fee:€10.00m,Álvaro Morata
20/21,"Jul 1, 2020",Chelsea,Atlético Madrid,€36.00m,€35.00m,Álvaro Morata
19/20,"Jun 30, 2020",Atlético Madrid,Chelsea,€36.00m,End of loan,Álvaro Morata
18/19,"Jan 28, 2019",Chelsea,Atlético Madrid,€50.00m,Loan fee:€18.00m,Álvaro Morata
17/18,"Jul 21, 2017",Real Madrid,Chelsea,€40.00m,€66.00m,Álvaro Morata
16/17,"Jul 1, 2016",Juventus,Real Madrid,€30.00m,€30.00m,Álvaro Morata
14/15,"Jul 19, 2014",Real Madrid,Juventus,€12.00m,€20.00m,Álvaro Morata
13/14,"Jul 1, 2013",RM Castilla,Real Madrid,€9.00m,-,Álvaro Morata
10/11,"Jul 1, 2010",Real Madrid U19,RM Castilla,-,-,Álvaro Morata
09/10,"Jul 1, 2009",Real Madrid U18,Real Madrid U19,-,-,Álvaro Morata
08/09,"Jul 1, 2008",Getafe CF Youth,Real Madrid U18,-,free transfer,Álvaro Morata
07/08,"Jul 1, 2007",Atlético Youth,Getafe CF Youth,-,free transfer,Álvaro Morata
16/17,"Aug 31, 2016",Liverpool,Lazio,€4.00m,€4.00m,Luis Alberto
15/16,"Jun 30, 2016",Dep. La Coruña,Liverpool,€4.00m,End of loan,Luis Alberto
15/16,"Jul 6, 2015",Liverpool,Dep. La Coruña,€2.50m,loan transfer,Luis Alberto
14/15,"Jun 30, 2015",Málaga CF,Liverpool,€3.50m,End of loan,Luis Alberto
14/15,"Jul 1, 2014",Liverpool,Málaga CF,€6.00m,loan transfer,Luis Alberto
13/14,"Jul 1, 2013",Sevilla FC,Liverpool,€5.00m,€8.00m,Luis Alberto
12/13,"Jun 30, 2013",FC Barcelona B,Sevilla FC,€5.00m,End of loan,Luis Alberto
12/13,"Aug 6, 2012",Sevilla FC,FC Barcelona B,€500Th.,Loan fee:€200Th.,Luis Alberto
11/12,"Jul 1, 2011",Sevilla Atl.,Sevilla FC,-,-,Luis Alberto
10/11,"Jul 1, 2010",Sevilla FC C,Sevilla Atl.,-,-,Luis Alberto
14/15,"Jul 1, 2014",KRC Genk,SSC Napoli,€6.50m,€7.75m,Kalidou Koulibaly
12/13,"Jul 1, 2012",FC Metz,KRC Genk,€700Th.,€1.30m,Kalidou Koulibaly
10/11,"Jul 1, 2010",FC Metz B,FC Metz,-,-,Kalidou Koulibaly
09/10,"Jul 1, 2009",SR Saint-Dié,FC Metz B,-,free transfer,Kalidou Koulibaly
14/15,"Jul 17, 2014",FC Bayern ,Real Madrid,€42.00m,€25.00m,Toni Kroos
09/10,"Jun 30, 2010",Bay. Leverkusen,FC Bayern ,€12.00m,End of loan,Toni Kroos
08/09,"Jan 31, 2009",FC Bayern ,Bay. Leverkusen,€5.00m,loan transfer,Toni Kroos
07/08,"Jul 1, 2007",FC Bayern U19,FC Bayern ,€100Th.,-,Toni Kroos
06/07,"Jul 1, 2006",H. Rostock U17,FC Bayern U19,-,€2.30m,Toni Kroos
04/05,"Jul 1, 2004",H. Rostock Yth.,H. Rostock U17,-,-,Toni Kroos
02/03,"Jul 1, 2002",Greifs. SC Yth.,H. Rostock Yth.,-,free transfer,Toni Kroos
18/19,"Jul 10, 2018",Real Madrid,Juventus,€100.00m,€117.00m,Cristiano Ronaldo
09/10,"Jul 1, 2009",Man Utd,Real Madrid,€60.00m,€94.00m,Cristiano Ronaldo
03/04,"Aug 12, 2003",Sporting CP,Man Utd,-,€19.00m,Cristiano Ronaldo
02/03,"Jul 1, 2002",Sporting U19,Sporting CP,-,-,Cristiano Ronaldo
00/01,"Jul 1, 2000",Sporting U17,Sporting U19,-,-,Cristiano Ronaldo
98/99,"Jul 1, 1998",Sporting Sub-15,Sporting U17,-,-,Cristiano Ronaldo
97/98,"Jul 1, 1997",Nacional U15,Sporting Sub-15,-,?,Cristiano Ronaldo
11/12,"Jun 30, 2012",Pescara,SSC Napoli,€7.50m,End of loan,Lorenzo Insigne
11/12,"Jul 1, 2011",SSC Napoli,Pescara,€600Th.,loan transfer,Lorenzo Insigne
10/11,"Jun 30, 2011",Foggia,SSC Napoli,€275Th.,End of loan,Lorenzo Insigne
10/11,"Aug 4, 2010",SSC Napoli,Foggia,€150Th.,loan transfer,Lorenzo Insigne
09/10,"Jun 30, 2010",Cavese,SSC Napoli,€150Th.,End of loan,Lorenzo Insigne
09/10,"Feb 1, 2010",SSC Napoli,Cavese,€75Th.,loan transfer,Lorenzo Insigne
09/10,"Jan 1, 2010",Napoli U19,SSC Napoli,€75Th.,-,Lorenzo Insigne
16/17,"Aug 4, 2016",Udinese Calcio,SSC Napoli,€12.00m,€16.00m,Piotr Zielinski
15/16,"Jun 30, 2016",FC Empoli,Udinese Calcio,€12.00m,End of loan,Piotr Zielinski
14/15,"Aug 31, 2014",Udinese Calcio,FC Empoli,€2.50m,loan transfer,Piotr Zielinski
12/13,"Jul 1, 2012",Udinese U19,Udinese Calcio,€100Th.,-,Piotr Zielinski
11/12,"Jul 1, 2011",Lubin II,Udinese U19,€50Th.,€100Th.,Piotr Zielinski
10/11,"Jul 1, 2010",Lubin U19,Lubin II,-,-,Piotr Zielinski
20/21,"Jul 1, 2020",Leverkusen U19,Bay. Leverkusen,-,-,Florian Wirtz
19/20,"Jan 31, 2020",1.FC Köln U17,Leverkusen U19,-,€200Th.,Florian Wirtz
18/19,"Jul 1, 2018",1.FC Köln Yth.,1.FC Köln U17,-,-,Florian Wirtz
10/11,"Jul 1, 2010",Brauweiler Yth.,1.FC Köln Yth.,-,free transfer,Florian Wirtz
19/20,"Aug 31, 2020",Parma,Juventus,€40.00m,End of loan,Dejan Kulusevski
19/20,"Jan 3, 2020",Juventus,Parma,€25.00m,loan transfer,Dejan Kulusevski
19/20,"Jan 2, 2020",Atalanta BC,Juventus,€25.00m,€35.00m,Dejan Kulusevski
